Name,Year,Height Without Shoes,Wingspan,Standing Reach,G,PTS,TRB,AST,2P%,3P%,FT%,Pos,GP
Terance Mann,2019-20,76.75,79.75,101.0,140,9.4,5.1,1.9,0.601,0.327,0.67,SG-SF,401
Quentin Grimes,2019-20,76.0,79.75,100.5,96,12.5,3.9,2.2,0.464,0.366,0.701,SG,155
Naz Reid,2019-20,80.75,87.25,109.0,34,13.6,7.2,0.9,0.509,0.333,0.727,PF,412
Christian Braun,2022-23,77.5,78.5,99.5,101,10.1,5.0,1.8,0.508,0.378,0.749,SG,282
Keon Johnson,2021-22,75.5,79.25,97.0,128,16.2,3.1,2.1,0.459,0.399,0.848,SG,79
Christian Koloko,2022-23,82.75,89.25,113.0,91,7.3,5.1,0.7,0.597,0.0,0.67,C,58
Neemias Queta,2019-20,82.75,88.25,111.5,86,13.2,9.0,2.0,0.596,0.375,0.646,C,62
Jared Butler,2021-22,74.25,76.0,98.5,94,14.1,3.2,3.5,0.483,0.384,0.782,PG,60
Isaiah Joe,2020-21,75.0,79.5,101.0,60,15.2,3.4,1.7,0.429,0.378,0.827,SG,256
Kessler Edwards,2021-22,79.0,83.25,106.0,92,13.3,6.5,1.2,0.522,0.395,0.789,PF,6
Brandon Clarke,2019-20,79.25,80.25,102.0,98,14.5,7.7,1.9,0.649,0.25,0.618,SF,199
Jalen Smith,2020-21,81.25,86.25,110.0,64,13.5,8.6,0.8,0.584,0.323,0.709,PF-C,193
Nassir Little,2019-20,76.5,85.25,104.5,36,9.8,4.6,0.7,0.527,0.269,0.77,SF,4
Sam Hauser,2021-22,78.75,81.25,102.0,126,13.3,6.1,2.1,0.543,0.439,0.88,SF,272
Justin Champagnie,2021-22,77.75,81.5,104.0,53,14.7,8.5,1.0,0.52,0.28,0.745,PF,62
Neemias Queta,2021-22,83.25,88.0,112.5,86,13.2,9.0,2.0,0.596,0.375,0.646,C,62
Aaron Wiggins,2021-22,76.5,81.75,103.0,96,11.0,4.6,1.6,0.456,0.361,0.769,SG-SF,256
Tre Mann,2021-22,75.25,76.0,98.5,53,10.2,3.6,1.9,0.477,0.349,0.788,PG,127
Andrew Nembhard,2022-23,75.0,77.75,99.0,131,10.0,2.9,5.3,0.515,0.343,0.79,PG,248
Davion Mitchell,2021-22,72.0,76.25,96.5,94,9.0,2.1,3.6,0.525,0.376,0.657,PG,312
Precious Achiuwa,2020-21,79.5,84.75,108.5,31,15.8,10.8,1.0,0.514,0.325,0.599,PF,217
Ochai Agbaji,2021-22,76.5,82.0,103.5,122,13.5,4.4,1.6,0.526,0.373,0.714,SG,201
Jericho Sims,2021-22,81.0,87.25,106.0,119,6.6,5.4,0.4,0.64,0.0,0.524,C,5
Keldon Johnson,2019-20,76.75,81.25,104.0,37,13.5,5.9,1.6,0.498,0.381,0.703,SG,353
Jaylin Williams,2022-23,80.75,85.0,108.5,141,9.3,3.9,1.6,0.608,0.346,0.776,C,96
Jalen Johnson,2021-22,79.75,84.25,106.0,123,5.6,2.4,0.8,0.49,0.371,0.856,PF,76
Cody Martin,2019-20,76.75,82.25,102.5,122,9.7,4.6,3.6,0.539,0.325,0.689,PG-SG,123
Isaiah Roby,2019-20,79.25,85.0,106.0,97,8.1,5.5,1.5,0.523,0.336,0.702,PF,61
Markus Howard,2020-21,69.5,72.25,91.5,128,21.6,3.2,3.1,0.463,0.427,0.882,PG,9
Walker Kessler,2022-23,84.25,88.25,113.0,63,8.2,5.8,0.6,0.671,0.204,0.577,C,196
Isaiah Stewart,2020-21,79.25,88.75,108.5,122,6.2,1.8,1.9,0.412,0.325,0.792,C,211
Peyton Watson,2022-23,78.75,84.5,107.5,32,3.3,2.9,0.8,0.356,0.226,0.688,SF,172
Romeo Langford,2019-20,76.5,83.0,103.0,32,16.5,5.4,2.3,0.53,0.272,0.722,SG,4
Tyler Herro,2019-20,76.5,75.25,100.5,37,14.0,4.5,2.5,0.538,0.355,0.935,SG,292
Tari Eason,2022-23,78.75,86.0,107.5,56,13.0,6.3,1.1,0.551,0.327,0.757,PF,89
Herbert Jones,2021-22,78.0,84.25,106.0,60,5.1,2.7,0.7,0.553,0.3,0.5,SF,230
Trendon Watford,2021-22,79.5,86.25,105.0,59,14.9,7.3,2.3,0.528,0.29,0.662,PF,125
Zeke Nnaji,2020-21,81.25,86.0,105.5,32,16.1,8.6,0.8,0.586,0.294,0.76,PF-C,58
Miye Oni,2019-20,76.25,82.75,100.5,87,15.0,6.2,3.3,0.49,0.356,0.777,SG,62
Johnny Juzang,2022-23,77.25,83.0,102.5,85,11.6,3.6,1.2,0.479,0.352,0.853,SG,64
Dalen Terry,2022-23,78.0,84.75,106.0,63,6.6,4.2,2.9,0.552,0.35,0.68,SG,132
Jaylen Nowell,2019-20,75.25,79.25,98.0,70,16.1,4.6,2.9,0.504,0.396,0.789,SG,132
Coby White,2019-20,75.5,77.0,97.5,35,16.1,3.5,4.1,0.5,0.353,0.8,PG,362
Grant Williams,2019-20,77.75,81.75,104.5,104,15.7,6.5,2.1,0.54,0.291,0.758,PF,339
Ty Jerome,2019-20,76.25,76.0,98.0,105,9.6,3.0,3.7,0.479,0.392,0.788,PG,79
Terence Davis,2019-20,75.0,80.75,101.0,121,12.5,4.9,2.1,0.522,0.339,0.717,SG,125
Julian Champagnie,2021-22,78.5,82.0,106.5,88,16.0,6.8,1.4,0.475,0.348,0.815,SF,156
Jordan Nwora,2019-20,77.75,82.5,103.0,93,13.9,6.0,1.0,0.489,0.394,0.785,PF,124
Jabari Walker,2022-23,78.75,82.75,105.0,59,11.5,7.2,0.9,0.515,0.399,0.783,PF,132
Ochai Agbaji,2022-23,76.5,82.25,104.0,122,13.5,4.4,1.6,0.526,0.373,0.714,SG,201
Immanuel Quickley,2020-21,74.0,80.25,99.0,67,10.1,2.9,1.5,0.409,0.397,0.895,SG,304
Jordan Nwora,2020-21,77.75,82.25,104.0,93,13.9,6.0,1.0,0.489,0.394,0.785,SF-PF,124
Ziaire Williams,2021-22,80.25,82.25,106.5,20,10.7,4.6,2.2,0.427,0.291,0.796,SF,135
Keon Ellis,2022-23,75.5,80.5,102.0,65,8.8,5.1,1.4,0.588,0.371,0.831,SG,80
Julian Champagnie,2022-23,78.25,82.0,107.0,88,16.0,6.8,1.4,0.475,0.348,0.815,SF,156
